Date,Open,High,Low,Close,Adj Close,Volume
2021-04-16,138.690002,139.690002,138.529999,139.300003,137.049606,636800
2021-04-19,139.160004,139.800003,138.830002,139.529999,137.275894,699800
2021-04-20,139.500000,139.839996,138.470001,139.110001,136.862671,553000
2021-04-21,138.630005,142.009995,138.509995,141.899994,139.607605,914000
2021-04-22,142.360001,145.419998,142.210007,143.750000,141.427719,1113400
2021-04-23,142.460007,144.039993,142.339996,143.940002,141.614655,806200
2021-04-26,143.309998,143.539993,142.559998,143.220001,140.906281,572200
2021-04-27,143.460007,143.589996,142.360001,142.649994,140.345490,518300
2021-04-28,142.949997,144.490005,142.649994,144.080002,141.752396,1007100
2021-04-29,144.070007,144.190002,142.470001,143.779999,141.457230,876500
2021-04-30,142.199997,142.479996,139.470001,139.940002,137.679276,805600
2021-05-03,141.300003,141.839996,140.610001,141.020004,138.741821,589200
2021-05-04,138.089996,138.520004,135.449997,136.720001,134.511292,1201700
2021-05-05,139.149994,139.440002,137.910004,138.149994,135.918182,517100
2021-05-06,140.279999,141.679993,139.550003,141.669998,139.381317,890100
2021-05-07,141.919998,142.729996,141.440002,141.740005,139.450195,695300
2021-05-10,140.889999,141.059998,139.339996,139.520004,137.266052,833100
2021-05-11,136.589996,138.190002,136.360001,137.830002,135.603363,1113800
2021-05-12,136.190002,137.139999,135.119995,135.500000,133.310989,705000
2021-05-13,135.559998,136.110001,134.570007,135.229996,135.229996,611000
2021-05-14,137.110001,138.899994,136.729996,138.820007,138.820007,690800
2021-05-17,137.539993,137.940002,136.970001,137.360001,137.360001,493600
2021-05-18,137.960007,138.889999,137.699997,138.000000,138.000000,512800
2021-05-19,136.220001,137.309998,135.660004,137.100006,137.100006,848800
2021-05-20,137.940002,140.809998,137.809998,140.169998,140.169998,475000
2021-05-21,140.320007,140.600006,139.589996,139.850006,139.850006,335900
2021-05-24,141.179993,142.119995,141.080002,141.440002,141.440002,371700
2021-05-25,141.240005,141.539993,140.529999,140.979996,140.979996,436200
2021-05-26,141.910004,142.220001,141.039993,141.550003,141.550003,324700
2021-05-27,139.710007,139.750000,138.300003,138.350006,138.350006,713700
2021-05-28,140.000000,140.919998,139.820007,139.929993,139.929993,485400
2021-06-01,141.199997,141.279999,139.520004,140.029999,140.029999,449300
2021-06-02,138.960007,140.059998,138.910004,139.139999,139.139999,615700
2021-06-03,137.889999,138.399994,137.479996,137.839996,137.839996,682700
